mssv,namsinh,gioitinh,dtbhk_1,dtbhk_2,dtbhk_3,dtbhk_4,dtbhk_5,dtbhk_6,dtbhk_7,dtbhk_8
012B2267XPvAibaEXe92T150Nt0xZhRfmxS1FqFL,2000,1,5.76,5.75,3.87,6.33,7.58,8.1,8.26,6.68
01339FADXPvAibaEXe/a3PM8AP2Ng0uXDZOGMC2W,1996,1,8.74,7.67,6.99,6.19,5.64,6.5,4.84,7.55
01345052XPvAibaEXe80b1fr0fH/Ju3gQ/HxLb96,1997,1,7.53,5.56,0.5,5.96,7.02,6.04,6.52,7.16
01377D44XPvAibaEXe/BLy1WUS+NVlzbxIIHMtmt,1997,1,2.85,1.79,4.0,4.21,4.33,0.77,5.27,3.88
013DFC27XPvAibaEXe9KWpGOh3zHlxPSiJ5QTA8b,1997,1,5.85,0.81,4.33,1.96,3.01,1.55,1.59,0.14
014AB13EXPvAibaEXe8B6jbWYL2ytNvhs0daeuVk,1999,1,7.95,8.3,8.05,8.34,8.25,8.32,8.26,9.08
014C54F7XPvAibaEXe8JhJ4J3nSSlz1TA0ntP3g/,2001,1,8.95,7.63,7.34,8.8,8.12,8.15,7.74,8.53
014C9CD2XPvAibaEXe86mMJZ3W/SqWMe8Rep30Oj,0,-1,8.2,8.36,8.58,7.2,8.22,7.76,8.36,8.28
0152D73FXPvAibaEXe8dBqMaN7rGhiSNefyOeUyN,1998,1,7.87,5.67,8.03,7.15,6.78,7.23,9.1,8.63
0155D7F9XPvAibaEXe+RaLErOlzghWNFVX9jT8kn,1997,1,8.06,7.55,8.66,8.29,8.34,8.42,8.74,8.69
015A05A2XPvAibaEXe8m7ybKj0ITr5RhFEliAdw/,0,-1,8.15,8.06,7.98,7.93,7.74,8.48,8.27,8.62
01641A90XPvAibaEXe9dgf/EzU6ZBXaquO6JqsV8,2001,0,5.91,2.62,5.87,4.3,4.37,5.31,4.84,4.63
016AB880XPvAibaEXe9lVlYxgSyBv8bGU/pM3AL/,2000,1,3.28,0.31,0.6,0.51,0.54,2.34,3.87,2.87
01728002XPvAibaEXe/aKtNDHjDg7XzAUeuYwUoZ,0,-1,5.73,3.37,5.1,5.88,6.34,7.01,6.96,5.47
01759300XPvAibaEXe/kSDDr/jkTQ8zO4LPi0cuK,2001,1,9.27,8.6,7.86,8.53,8.96,7.9,6.9,8.65
017984E0XPvAibaEXe9aMAyZdkMMW6R7RAHjUUsD,0,-1,8.39,8.89,9.05,8.51,8.53,8.68,8.63,8.78
017CD572XPvAibaEXe9CFhTkHod3yQuYGl3Dx7Ko,1998,1,6.25,0.81,4.64,0.95,1.21,2.38,2.61,4.87
017F628AXPvAibaEXe+5v7/2krOwGMehPffqHTAK,0,-1,3.79,5.09,5.01,3.54,5.01,4.45,4.31,5.38
018688CAXPvAibaEXe96Y2OKPPTIZMPEXLKYzr8N,0,-1,9.39,8.88,8.74,8.53,8.8,8.7,8.59,8.9
0186D2FEXPvAibaEXe8Lp0YaxzdqUosODBdNyP4Q,1997,0,8.96,6.92,8.42,8.5,8.11,8.4,8.33,8.34
0187B0F3XPvAibaEXe/vGZ1xWLvpK/uzWZb2e41X,0,-1,8.66,9.42,9.07,8.74,8.97,8.71,8.63,8.69
0188BAD2XPvAibaEXe/AdnwkoyhfDtYg0Faie5sR,1999,0,7.34,7.09,6.43,6.85,6.11,6.97,6.8,3.9
018B537BXPvAibaEXe+JOtnwEvC97qLE0CEjcJMZ,2001,1,8.59,7.72,7.16,8.07,8.98,8.46,8.94,8.47
019568E7XPvAibaEXe+P3P+fEFRIWDXExiPZGRaa,2001,0,9.55,9.15,8.72,9.25,8.72,8.79,8.36,8.9
01A5EA41XPvAibaEXe/hev6WBclXgRhov2qpZUVr,0,-1,6.05,7.01,7.07,7.77,8.16,8.21,8.09,8.17
01A6AF36XPvAibaEXe/hev6WBclXgUbGB8BXhUSR,0,-1,9.07,9.44,9.14,9.26,9.28,9.07,9.28,9.21
01B27747XPvAibaEXe9MnecufC0W/lxoJKNrs8f0,2001,1,5.71,4.4,5.83,3.54,5.87,3.71,3.6,4.29
01B2E0C0XPvAibaEXe+LbmSTUWVMuCiA7Fe9lwmP,1998,1,7.19,7.28,8.17,7.53,7.72,7.2,7.21,8.8
01B52BE5XPvAibaEXe9eYPx3anXXhOEtGOeWYZrn,1998,1,0.34,0.21,2.48,5.84,4.63,4.0,4.43,6.62
01B88734XPvAibaEXe+E+n9mGyneJyl+8Jf7jzUD,1997,1,6.02,6.12,6.4,6.38,7.66,7.75,8.0,8.21
01C3E360XPvAibaEXe8aLAPPdCF+aQPfV91kc+Cb,1999,1,5.33,2.31,2.17,2.96,5.32,2.7,3.82,5.08
01C75C0AXPvAibaEXe/lR/YYAy+70aJGvl+xOHCU,0,-1,8.26,7.95,8.62,8.38,8.98,8.59,8.55,8.22
01CD0FE9XPvAibaEXe/YKN5ysyYL7C/LVIRFhL6K,1993,1,7.08,6.61,6.97,6.94,7.0,7.05,7.18,7.06
01D17AF7XPvAibaEXe+RuJt6KkmrDL2iuaLrn1k6,0,-1,7.57,7.48,8.44,7.69,7.18,6.98,7.33,7.93
01D76729XPvAibaEXe8p+Buz4QuyY+shx0n30bae,0,-1,7.31,5.16,7.83,7.06,7.62,7.55,7.11,6.76
02193C3DXPvAibaEXe+TNSfG6uJKIkeF2q+8Gwlb,0,-1,9.48,9.24,9.38,8.72,8.77,8.43,8.12,8.8
0228A14DXPvAibaEXe/S2GAGS7TusFPD1HnqVv4e,0,-1,7.57,4.76,5.8,6.38,5.48,5.2,6.72,7.15
0229A978XPvAibaEXe9l64yhPVxhaWeJUNcrCnmf,0,-1,6.21,4.76,6.17,6.75,6.19,4.07,6.97,6.07
022F92FFXPvAibaEXe8m7ybKj0ITrwbZ3v50vX4r,0,-1,7.14,7.55,8.13,7.71,7.57,7.31,7.52,7.84
0231E650XPvAibaEXe8Uni3vOWXwqI15Y1ecKZ4d,0,-1,7.69,7.5,7.86,7.77,7.2,6.41,7.69,7.67
023C593EXPvAibaEXe9FHRfjQvHQkczLW3d0xRtJ,2001,1,8.63,7.57,6.87,7.94,7.88,6.17,8.21,6.45
023D2F97XPvAibaEXe/V92w6Vxv2r1UinrIdobJ6,1999,1,5.34,7.75,7.3,7.02,7.0,7.58,7.2,8.92
02471672XPvAibaEXe/wcf8soaIdyu4B652y6lan,0,-1,5.09,2.24,4.94,2.35,4.47,4.13,4.31,3.91
024CBC8DXPvAibaEXe+rQqH2xQ3mKzcD3bDBELXl,0,-1,8.34,8.89,8.69,8.78,8.51,8.62,8.42,9.24
024F7582XPvAibaEXe/QPFjJxKB5fpc+JU5L2yoh,1999,1,8.15,7.6,7.81,8.23,8.39,8.02,8.02,7.2
025639C4XPvAibaEXe9h45naFhFKYhEBg5cfNLVj,1995,1,5.95,5.42,4.67,4.85,5.53,5.12,5.12,5.02
0266A632XPvAibaEXe8fDZWQ6Sz6wmY53Xv+7QbI,2001,1,6.2,5.6,5.56,6.93,6.66,5.97,3.41,6.18
0269D0CEXPvAibaEXe9Z67almz7y5nIpJrijnwIg,1995,1,3.75,3.91,4.85,5.8,3.64,1.0,3.65,0.28
026C80C5XPvAibaEXe8kGcWiFCcO6X+kqE6zW6qM,1999,1,6.03,5.82,6.54,5.65,1.42,5.7,0.75,3.57
0274C264XPvAibaEXe91UcttbrYag2jklAZJMb7s,2000,1,5.99,5.61,5.12,6.45,6.1,6.85,5.3,5.22
0276C28DXPvAibaEXe92DIzGarcXxFtmAWFTKF/F,0,-1,8.22,8.56,8.71,8.32,8.53,8.18,8.65,8.42
02784045XPvAibaEXe+72vl6t/d8GVXw6d/9TNFr,1999,0,6.13,5.76,5.4,5.6,5.2,5.8,5.6,6.86
0294BF8FXPvAibaEXe9ggqkCdMDyeA7ept6yymJB,1999,1,6.85,8.28,7.74,7.62,7.46,8.07,7.91,7.91
029FF400XPvAibaEXe/CDMtnBauOUI3KOirhtT3a,2000,1,5.55,7.58,7.04,7.45,6.83,7.78,8.49,7.37
02A2AE13XPvAibaEXe8FNnc+c+WuJK7wR2tq8jV9,0,-1,7.36,7.87,8.75,8.48,7.9,8.51,8.07,7.19
02B1B771XPvAibaEXe/MFNByxh05bwp2psmEm6tl,1999,0,7.01,6.68,7.24,6.83,6.04,7.1,7.53,8.81
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,1998,1,5.79,6.07,6.05,6.52,5.86,5.54,1.33,5.92
02B7506DXPvAibaEXe+k62RFIc5kZJ+3vcf6DF6N,0,-1,7.71,8.2,8.14,7.59,7.82,8.35,7.75,8.77
02BF7901XPvAibaEXe81w9eVvyp+l/OBpi+Ps6nu,1997,1,7.62,5.1,6.81,6.51,6.82,4.39,2.91,0.57
02C4644FXPvAibaEXe+wmtNhlfgIwhu0VSXU3tYN,1995,1,6.43,6.36,7.45,8.13,7.63,8.68,8.55,8.2
02D11BA0XPvAibaEXe/twT+sf632fV68MOhuBLMU,2001,0,8.9,8.12,8.2,8.36,8.34,8.46,7.94,8.8
02D8F879XPvAibaEXe+OQt2grxVQNx94/N9FKXBn,0,-1,5.56,7.23,7.92,8.35,8.47,7.52,8.14,7.68
02F183F0XPvAibaEXe/kJUgsv26Ua01LZ73bPyUY,1996,0,6.79,3.68,7.48,6.89,6.93,6.45,7.93,6.64
02FA9B28XPvAibaEXe9hPQQhQOOPyX9iSjJX1yiu,1995,1,2.84,0.78,4.75,0.21,3.19,5.98,4.3,1.75
02FAB066XPvAibaEXe+P3P+fEFRIWPj6XPfklz7k,2001,1,8.98,8.96,8.72,9.16,8.9,8.89,9.68,9.52
030AB9A8XPvAibaEXe+PYhTHWVfmAnz8waNlDG/x,2001,1,7.81,6.66,7.77,7.56,7.83,8.21,7.87,7.46
030B245FXPvAibaEXe/jTKXgBOsBDW4FRbuPOBJq,0,-1,7.75,8.28,7.07,7.72,6.79,6.61,7.42,8.23
030EC5D4XPvAibaEXe+6333OdPqlxr0zrQoKeC6U,0,-1,7.88,8.09,8.03,6.44,8.15,8.11,7.11,7.95
030FC1CFXPvAibaEXe+9lRniSKKSh3iBkTOiNqQs,1995,1,6.84,5.87,4.71,5.65,6.75,6.82,6.87,6.98
03102AA8XPvAibaEXe8JyzRlwVelI4su+QPmcQhh,0,-1,6.07,5.53,4.59,5.51,5.61,5.2,5.3,4.83
031A135FXPvAibaEXe+bzhoLNxTK0xOsiDh253Ur,0,-1,7.28,7.81,7.5,8.17,7.91,8.49,8.15,8.84
031B760AXPvAibaEXe9KztDs5zkBQtJkYA6Ehute,0,-1,8.11,6.29,7.56,7.47,6.79,7.92,7.62,6.34
032009DBXPvAibaEXe8hLNatuVCg+bidSLDlKFer,1996,1,8.0,5.66,5.96,3.64,4.3,3.31,6.18,3.28
0330BA3CXPvAibaEXe8Z5hiNBvM0RW96I9r3cKzN,2001,0,8.75,8.54,8.74,8.67,8.74,8.25,7.9,8.71
0336A8FDXPvAibaEXe97q47CdxnNZKAUu5+2jDyf,1996,1,5.69,5.93,5.78,1.62,6.31,3.69,4.27,3.91
0339FEA3XPvAibaEXe/67dyjFFUOJsO0SSal/unw,1999,1,4.78,5.68,6.12,5.62,6.77,6.92,6.31,7.42
033F886DXPvAibaEXe9KJs87LGFuVLck0jV/I2O/,0,-1,8.51,7.85,7.56,8.17,7.98,8.24,8.15,8.66
0343C819XPvAibaEXe/xGSYcIp0f7PNCSNmme2n5,0,-1,8.98,8.21,8.87,7.96,8.76,8.14,8.36,5.78
0349C6B8XPvAibaEXe80b1fr0fH/JkdDh3dWSII8,1997,1,5.52,4.49,7.5,6.42,7.69,7.52,7.7,4.77
0356BA29XPvAibaEXe/i44g6992J04DlKo1DQNSP,2001,1,7.85,8.24,8.11,8.64,8.5,8.98,8.44,8.72
035AEF81XPvAibaEXe/y2t7DVG8TDXVGQmvbKE12,1996,1,7.15,5.43,6.56,6.09,6.04,6.61,7.58,8.76
0368E395XPvAibaEXe8Hc2wHUxgky4xlonemdAzO,2001,1,8.31,7.98,7.65,8.1,7.37,7.73,7.68,7.76
03723A75XPvAibaEXe85hkLGQAJy3TsW8FoyJ83/,2000,1,6.43,0.04,4.9,6.39,6.64,4.99,6.06,5.57
0375F69FXPvAibaEXe9JdUmjPcaT8kzHYZ2eSjwX,1995,1,7.42,7.74,7.97,7.38,7.46,8.53,8.94,8.88
037AAE6FXPvAibaEXe8ZCBSJNuktiCdU6dkKR988,2000,1,9.22,9.05,7.94,8.52,8.21,8.7,8.7,8.63
037C3BF2XPvAibaEXe+EAlU+wSWpDZ0GbMgeWH3/,2001,1,7.34,8.44,7.71,7.42,8.23,7.75,7.34,8.25
03810112XPvAibaEXe9fwZBwsCOuQPoWCjpy04cL,1995,0,4.98,5.5,5.72,5.78,5.86,6.4,6.79,7.28
03816B23XPvAibaEXe/1Yakz2BGJTcBso5ZBcYrz,2001,1,8.83,8.79,8.85,8.18,9.11,8.34,7.43,5.82
0388C53EXPvAibaEXe9F2tx/ToPx3FKeDTdDjuhB,1998,1,7.09,6.73,6.4,4.34,6.78,6.94,7.84,8.44
03918911XPvAibaEXe8uDPDBBTbYrBR+erGSTT5q,2001,1,9.06,8.22,7.65,7.65,8.78,8.78,9.03,8.84
0394FD62XPvAibaEXe9D0puFBsAtkmu/3f4p7oUp,1999,1,8.48,8.87,8.08,8.88,8.3,8.49,8.39,9.7
039739DCXPvAibaEXe9cMY+S62CQpXn1AzsVSyJ2,0,-1,7.93,6.74,6.31,7.17,7.02,8.15,7.45,7.48
0397E523XPvAibaEXe+q0E3QguGBpXo0jV2oyFig,2000,1,7.04,5.39,4.51,6.72,6.52,5.75,7.94,3.0
0398BD47XPvAibaEXe+1qnC7LACO/Xq5fbBTAgzN,2000,1,7.07,6.52,6.54,6.81,5.56,4.86,5.4,3.86
039A40EBXPvAibaEXe/sW+jVmHnQGlexsxcKegMx,1998,1,6.15,5.46,7.68,6.9,6.95,7.04,8.15,7.67
03A27B34XPvAibaEXe+XuNgf2Sify1FkYwDf2m0F,2001,1,6.76,6.1,5.93,7.32,7.1,7.94,7.7,7.14
03B1BF87XPvAibaEXe83EtiN4MI2ns5qclkPljKC,1995,1,7.27,7.25,7.88,7.29,7.71,7.81,7.98,7.93
03B3F65FXPvAibaEXe+QJ0MB5TsYNe5nyw6HufAr,1999,1,7.12,5.59,6.42,6.16,6.22,6.08,4.89,5.79
03B7B83FXPvAibaEXe+rQqH2xQ3mK0bmBwLPwvLq,0,-1,8.12,7.95,7.88,8.05,8.35,8.06,8.15,8.7
03BBAAD7XPvAibaEXe8EW55eQakbv2dGs/7ZpoNB,0,-1,8.66,8.9,8.31,8.21,8.41,9.02,8.57,8.47
03C79B24XPvAibaEXe+PAOVcd+LnOZDHTOc4IJv0,1997,1,8.29,6.29,7.29,6.79,6.4,6.15,7.08,7.59
03CB6F51XPvAibaEXe+fmJL3h1osPKagDzJfY1Is,0,-1,8.24,7.56,7.85,8.46,7.24,7.87,7.91,7.74
03CB8DC4XPvAibaEXe+4XPPXlKRz0LWy5kJsvBRv,1997,1,7.78,6.12,6.85,5.86,6.88,6.37,6.16,6.73
03E82A07XPvAibaEXe/uepF/LZG2ltTcDOAe6cyL,0,-1,7.8,7.49,7.44,6.37,6.51,8.26,8.3,7.71
03E9147DXPvAibaEXe+NnQrnI1K9JMnAja73zCHH,1999,1,6.69,5.79,7.02,7.67,7.67,7.44,7.73,7.03
03EC266CXPvAibaEXe8Zj2AQQ+YjPDCtujie7z73,0,-1,7.83,6.05,6.45,6.97,6.21,7.12,7.2,7.75
03ECE99EXPvAibaEXe8NoNh54Mn6M+2xXKb+BCMr,1997,1,8.66,6.62,7.47,6.9,6.93,5.72,6.85,6.82
03F0FDF5XPvAibaEXe81r7KrCH0uc/DWUtJIS0l8,1999,1,5.53,5.42,5.1,6.24,4.79,0.89,2.65,5.42
03F181B0XPvAibaEXe+7uLWSh9XvQs9BhtrBVBeU,1998,1,7.21,6.84,7.23,6.96,6.97,7.41,7.8,8.9
03F799BCXPvAibaEXe9MnecufC0W/vTkuEmnC2RW,2001,1,7.07,5.33,6.7,4.04,6.5,4.34,3.5,6.57
03FF368EXPvAibaEXe8JVGhFAfQ9U/upCLkDhtRc,0,-1,8.09,8.16,7.31,8.09,7.45,8.0,7.44,7.87
0401F5D8XPvAibaEXe/33FMzfi5mea/1WCTgCGuE,0,-1,7.74,7.7,7.5,7.61,8.54,8.22,7.71,8.53
0402B932XPvAibaEXe9xHju59ydahTjwi8JiBa4z,1997,1,6.81,5.73,7.41,6.6,7.51,7.55,7.85,7.46
0406981FXPvAibaEXe+M8JaUhbJyecydVJn03CsO,1997,1,6.16,5.09,7.54,6.89,7.71,7.75,7.73,7.01
040EC982XPvAibaEXe+ERYFOhgzk5TJhMb5/nkzT,0,-1,7.33,9.1,6.91,7.84,7.39,7.76,8.22,8.63
0415BA59XPvAibaEXe/f/Q1bKxMyhFreBFnAqn32,0,-1,7.53,7.23,6.79,6.91,6.99,7.01,7.97,7.72
0419426CXPvAibaEXe/EvmuerN6w1BIIPdWHHov2,1999,0,6.06,5.78,6.38,6.11,7.13,7.82,8.11,7.91
041F7D4CXPvAibaEXe9lyNw7zdm99jpjj8mjiV3M,0,-1,7.65,7.68,8.0,8.56,8.56,8.69,8.22,8.54
04234787XPvAibaEXe+4ETeamtJzhG84K01qWXLW,2001,1,6.17,6.09,5.72,7.23,7.95,6.47,7.11,7.05
042AF6AEXPvAibaEXe+NTT/XirluiUBFaLtjJar1,0,-1,8.58,7.65,7.3,7.79,8.28,8.02,8.34,7.89
042B0951XPvAibaEXe9tNeZtU5umq1T3dnIy1gbU,0,-1,7.41,7.28,8.06,8.11,7.96,7.57,7.49,8.3
042F0E58XPvAibaEXe8p9EUNm1rzjknB/SCShuuv,0,-1,4.46,4.53,7.47,3.97,4.84,5.16,5.11,3.92
043446ABXPvAibaEXe+D/rLOK41HOgI3XqKCgQnG,0,-1,7.67,8.28,8.42,7.73,8.2,8.33,8.28,8.35
043AE465XPvAibaEXe86sbeN0/YCTVJDeWwsGcv7,1998,1,7.88,7.34,8.61,7.5,8.24,7.57,7.44,7.32
043B0CDAXPvAibaEXe8d5+4VMyfVsO7O83z9K9IN,2001,1,6.76,7.42,7.03,7.76,7.91,7.19,7.1,7.31
043ECE64XPvAibaEXe8p7+QBLh7hjqIhsiZHycCn,1999,1,6.6,6.27,6.37,5.47,5.59,6.2,6.07,3.98
044251C4XPvAibaEXe+zviMYuJzmlQrTTytgtURL,0,-1,7.56,8.79,7.65,7.66,7.62,8.88,8.28,8.6
