mssv,namsinh,gioitinh,dtbhk_1,dtbhk_2,dtbhk_3,dtbhk_4,dtbhk_5,dtbhk_6,dtbhk_7,dtbhk_8
007C275DXPvAibaEXe+TFgEDwYNnveOOmOYeYzF6,1995,1,6.43,6.43,7.5,6.43,8.57,8.57,6.43,7.5
0085722BXPvAibaEXe/baq/wvVlH/v1E0JmnRemC,1999,1,6.0,6.0,4.8,6.0,7.2,8.4,6.0,7.2
0088B819XPvAibaEXe+pRrseqS9RoYVQbm9WQphs,2001,1,9.48,8.43,7.37,7.37,8.43,8.43,7.37,8.64
008BC94CXPvAibaEXe9/w7qCPr4fx1vMkMDBbGR/,2001,1,3.1,2.17,1.55,4.18,2.32,2.79,2.48,3.72
008C7E44XPvAibaEXe80NXGyYVtTlnHRV1DTnuqi,1998,1,7.59,8.67,7.59,8.67,5.42,7.59,6.51,8.67
00951367XPvAibaEXe+JOtnwEvC97gx0NG0xwouT,2001,1,7.78,6.67,5.56,8.89,7.78,6.67,4.44,6.22
00A65C83XPvAibaEXe+BUGeEgVnB4GtsCU49A5+8,1996,1,7.93,5.67,6.8,5.67,7.93,7.93,6.8,6.8
00A6F5DAXPvAibaEXe/zT99h3DDtvT/brt/zZ/RZ,2000,1,3.66,4.87,7.31,6.09,7.31,8.53,8.53,6.09
00ACC499XPvAibaEXe8ciyLBP/Qla4g3ka0I3o/F,1998,1,5.06,4.05,3.24,5.06,3.04,4.05,3.85,4.45
00ACD5A5XPvAibaEXe+pDN88/1DR4LBrQbT3YaE1,1996,1,7.3,6.08,6.08,4.87,6.08,7.3,3.65,6.08
00AD2952XPvAibaEXe/45+b0LBlJ7GBrgcGKBM3K,1997,1,5.65,5.65,7.91,6.78,6.78,6.78,6.78,6.78
00BA75D9XPvAibaEXe86Rqk7wH1x9L5qZti6M7iN,1998,1,7.1,5.92,4.74,4.74,7.1,6.39,5.68,5.45
00BCE333XPvAibaEXe9upvU5DvuC9h+K5WaA2XCn,1995,1,5.61,5.61,6.73,5.61,6.73,7.86,7.86,7.18
00BEC077XPvAibaEXe9+dT4FRTt+Q2alofVR9t4x,1997,1,9.2,6.9,6.9,8.05,6.9,6.9,6.9,3.45
00BF5175XPvAibaEXe+Em+qhkpGqwOeIgsMQfSaq,2000,1,8.0,6.86,5.71,6.86,4.57,8.0,8.0,8.0
00C1823FXPvAibaEXe92T150Nt0xZm0PNPjZ334J,1999,1,5.31,7.43,7.43,8.49,8.49,5.31,7.43,8.49
00CFFDDFXPvAibaEXe9PaZSVcf3BgqtWEBh0HDBi,2001,1,6.2,4.96,2.48,7.44,3.72,6.2,3.72,5.45
00D42116XPvAibaEXe8IGiiWauHvTNlYh1/nN8rw,1999,1,6.45,5.38,6.45,7.53,7.53,7.53,8.6,8.6
00D6DC46XPvAibaEXe9KRifo2bJPJD+Zu7F2mpg5,1998,1,9.61,8.54,8.54,8.75,8.75,8.33,8.11,8.97
00D77BF9XPvAibaEXe9DbnTSd1n0lpNsn3oiK7Z0,1998,1,8.5,8.5,8.5,8.5,8.5,8.07,7.65,7.65
00DC581CXPvAibaEXe9KG2OR8ZVK3umWFpCcHAl6,1997,1,5.44,4.08,6.8,5.44,6.8,6.8,9.52,8.16
00E148C2XPvAibaEXe+YFpGAAgvteQTcTeueqms0,1998,1,5.19,3.89,9.07,6.48,2.59,3.63,5.44,5.7
00E4A623XPvAibaEXe8qgRlcblbl2vnFrpB96HIM,1999,1,5.37,6.44,6.44,6.44,6.44,7.51,8.59,9.66
00E5ECAFXPvAibaEXe9/E7eUO1RQ8r0/wCUOA7B6,1998,1,8.75,8.75,7.66,7.22,8.75,8.75,7.66,7.88
00E6586DXPvAibaEXe+SXBrvSceI6ZBiVR5JBtyI,2001,1,7.32,7.32,6.27,6.27,6.27,7.32,7.32,7.74
00E902B0XPvAibaEXe9syTSxuDl8vm0fhXJrG91q,1998,1,9.08,7.95,6.81,7.04,7.95,7.49,7.26,6.58
00ED4740XPvAibaEXe8t4cDFHKW3STPGGpmHJW7E,2000,1,7.24,6.04,4.83,7.24,6.04,8.45,7.24,6.04
00F2C35AXPvAibaEXe9p78qxnH96y4B0n45LtsTr,1997,1,3.76,3.76,7.53,5.02,2.51,7.53,5.27,5.02
00F31427XPvAibaEXe/nAyWBShz66zonv6PR2hvp,1998,1,6.25,7.29,6.25,5.21,6.25,6.88,6.88,7.71
00F54368XPvAibaEXe+Ya8MABQC4RC6OY7Db/+M5,1998,1,5.49,6.58,7.68,7.68,7.68,7.46,7.24,7.46
0103EBB9XPvAibaEXe+LOVcofflPOp4M1bu/q8RE,2000,0,9.29,9.29,9.29,9.29,8.26,9.29,9.29,9.29
01042283XPvAibaEXe/0Yd2X34glFPpzNb6Vd3mE,1998,1,7.39,8.44,8.44,7.39,8.44,8.02,8.02,8.02
010EBFE8XPvAibaEXe/fptT4PBq8NAZhCnWkwVzN,2000,1,9.59,8.52,9.59,8.52,8.52,7.46,9.59,8.52
011201F7XPvAibaEXe+OhmjSj4XEzZe7iRZlaaxm,1998,1,6.85,6.85,6.85,7.99,5.71,7.99,9.14,6.85
0113B184XPvAibaEXe+TFgEDwYNnvZZmdVYGpoeH,1995,1,5.6,4.48,7.84,6.72,7.84,6.72,6.72,6.72
0116EBB1XPvAibaEXe/kKctW1IjPXrvAfln7HF4O,1998,1,5.76,2.88,2.88,10.0,4.32,4.32,6.91,4.03
011E3613XPvAibaEXe8B6jbWYL2ytDqlxqdI7VkC,1999,1,8.07,8.07,6.92,5.76,9.22,6.92,8.07,5.76
01254D12XPvAibaEXe8yzZ/8QUtgdgO7k755LUHF,1995,1,7.11,7.11,5.93,7.11,5.93,4.74,7.11,8.3
012B2267XPvAibaEXe92T150Nt0xZhRfmxS1FqFL,2000,1,6.0,6.0,3.6,7.2,8.4,9.6,9.6,7.2
01339FADXPvAibaEXe/a3PM8AP2Ng0uXDZOGMC2W,1996,1,9.52,8.33,7.14,7.14,5.95,7.14,4.76,8.33
01345052XPvAibaEXe80b1fr0fH/Ju3gQ/HxLb96,1997,1,6.84,4.88,5.27,5.08,6.84,5.86,5.86,6.25
01377D44XPvAibaEXe/BLy1WUS+NVlzbxIIHMtmt,1997,1,1.82,0.91,3.63,3.63,3.63,4.54,4.54,3.45
013DFC27XPvAibaEXe9KWpGOh3zHlxPSiJ5QTA8b,1997,1,7.68,5.53,6.14,1.54,4.61,1.54,1.54,3.99
014AB13EXPvAibaEXe8B6jbWYL2ytNvhs0daeuVk,1999,1,7.24,8.27,8.27,8.27,8.27,8.27,8.27,9.3
014C54F7XPvAibaEXe8JhJ4J3nSSlz1TA0ntP3g/,2001,1,8.39,7.34,7.34,8.39,8.39,8.39,7.34,8.6
014C9CD2XPvAibaEXe86mMJZ3W/SqWMe8Rep30Oj,1998,1,8.49,8.49,8.49,8.27,8.27,8.91,8.49,7.64
0152D73FXPvAibaEXe8dBqMaN7rGhiSNefyOeUyN,1998,1,7.5,5.35,8.57,7.5,6.43,7.5,9.64,8.57
0155D7F9XPvAibaEXe+RaLErOlzghWNFVX9jT8kn,1997,1,8.44,7.39,8.44,8.44,8.44,8.44,8.44,8.44
015A05A2XPvAibaEXe8m7ybKj0ITr5RhFEliAdw/,1998,1,8.61,7.53,7.53,7.53,8.18,7.75,7.96,8.18
01641A90XPvAibaEXe9dgf/EzU6ZBXaquO6JqsV8,2001,0,5.12,2.05,3.48,4.71,6.14,4.09,3.89,4.3
01728002XPvAibaEXe/aKtNDHjDg7XzAUeuYwUoZ,1998,1,4.67,2.8,4.67,5.42,5.42,4.86,5.05,4.86
01759300XPvAibaEXe/kSDDr/jkTQ8zO4LPi0cuK,2001,1,10.0,9.01,7.88,9.01,9.01,7.88,6.76,7.66
017984E0XPvAibaEXe9aMAyZdkMMW6R7RAHjUUsD,1998,1,8.65,8.65,9.73,9.08,8.44,8.65,8.22,8.65
017CD572XPvAibaEXe9CFhTkHod3yQuYGl3Dx7Ko,1998,1,6.11,5.3,4.07,2.85,2.04,4.07,4.07,4.68
017F628AXPvAibaEXe+5v7/2krOwGMehPffqHTAK,1998,1,3.29,5.49,5.49,3.29,5.49,3.73,5.05,5.93
018688CAXPvAibaEXe96Y2OKPPTIZMPEXLKYzr8N,1998,1,9.93,8.82,8.82,9.05,9.05,8.6,8.38,9.27
0186D2FEXPvAibaEXe8Lp0YaxzdqUosODBdNyP4Q,1997,0,8.55,6.42,8.55,8.55,7.91,8.13,8.55,8.13
0187B0F3XPvAibaEXe/vGZ1xWLvpK/uzWZb2e41X,1998,1,9.93,9.93,9.49,9.27,7.72,8.61,9.49,9.49
0188BAD2XPvAibaEXe/AdnwkoyhfDtYg0Faie5sR,1999,0,8.15,8.15,6.99,6.99,6.99,6.99,6.99,3.49
018B537BXPvAibaEXe+JOtnwEvC97qLE0CEjcJMZ,2001,1,8.7,7.61,7.61,8.7,8.7,8.7,8.7,8.48
019568E7XPvAibaEXe+P3P+fEFRIWDXExiPZGRaa,2001,0,9.62,9.62,8.55,9.62,8.55,8.55,8.55,8.77
01A5EA41XPvAibaEXe/hev6WBclXgRhov2qpZUVr,1998,1,6.09,7.11,7.11,7.11,8.12,7.31,7.72,7.92
01A6AF36XPvAibaEXe/hev6WBclXgUbGB8BXhUSR,1998,1,9.23,9.23,9.23,9.23,9.23,9.23,9.44,9.02
01B27747XPvAibaEXe9MnecufC0W/lxoJKNrs8f0,2001,1,6.11,4.89,6.11,3.66,6.11,3.66,5.13,5.62
01B2E0C0XPvAibaEXe+LbmSTUWVMuCiA7Fe9lwmP,1998,1,7.38,7.38,8.43,7.38,7.38,7.38,7.38,8.43
01B88734XPvAibaEXe+E+n9mGyneJyl+8Jf7jzUD,1997,1,6.35,6.35,6.35,6.35,7.4,7.4,8.46,8.46
01C3E360XPvAibaEXe8aLAPPdCF+aQPfV91kc+Cb,1999,1,9.48,3.79,3.79,3.79,9.48,3.79,5.69,9.48
01C75C0AXPvAibaEXe/lR/YYAy+70aJGvl+xOHCU,1998,1,8.83,7.73,8.83,8.83,8.83,8.17,8.61,7.51
01D17AF7XPvAibaEXe+RuJt6KkmrDL2iuaLrn1k6,1998,1,7.27,7.27,8.31,7.27,7.27,8.1,8.51,7.68
01D76729XPvAibaEXe8p+Buz4QuyY+shx0n30bae,1998,1,7.55,5.39,7.55,6.68,6.47,7.76,5.82,7.98
02193C3DXPvAibaEXe+TNSfG6uJKIkeF2q+8Gwlb,1998,1,9.84,9.84,9.84,8.75,9.19,9.4,8.75,9.19
0228A14DXPvAibaEXe/S2GAGS7TusFPD1HnqVv4e,1998,1,8.2,4.69,5.86,5.86,5.62,6.09,7.5,5.86
0229A978XPvAibaEXe9l64yhPVxhaWeJUNcrCnmf,1998,1,5.91,3.94,5.91,6.11,5.91,5.12,6.5,6.5
022F92FFXPvAibaEXe8m7ybKj0ITrwbZ3v50vX4r,1998,1,7.16,7.16,8.19,7.16,7.16,7.98,8.39,7.57
0231E650XPvAibaEXe8Uni3vOWXwqI15Y1ecKZ4d,1998,1,7.54,7.54,7.54,8.4,8.18,7.97,7.32,6.89
023C593EXPvAibaEXe9FHRfjQvHQkczLW3d0xRtJ,2001,1,8.54,7.48,6.41,7.48,7.48,6.41,8.54,7.9
023D2F97XPvAibaEXe/V92w6Vxv2r1UinrIdobJ6,1999,1,5.29,7.4,7.4,7.4,7.4,7.4,7.4,8.46
02471672XPvAibaEXe/wcf8soaIdyu4B652y6lan,1998,1,5.48,2.19,4.38,4.6,4.16,3.29,3.07,3.94
024CBC8DXPvAibaEXe+rQqH2xQ3mKzcD3bDBELXl,1998,1,8.76,8.76,8.76,8.54,8.54,9.2,8.76,7.88
024F7582XPvAibaEXe/QPFjJxKB5fpc+JU5L2yoh,1999,1,8.35,7.31,7.31,8.35,8.35,8.35,8.35,7.31
025639C4XPvAibaEXe9h45naFhFKYhEBg5cfNLVj,1995,1,5.65,5.65,4.52,4.52,5.65,5.65,5.65,5.65
0266A632XPvAibaEXe8fDZWQ6Sz6wmY53Xv+7QbI,2001,1,7.29,6.08,6.08,7.29,7.29,6.08,3.65,5.84
0269D0CEXPvAibaEXe9Z67almz7y5nIpJrijnwIg,1995,1,3.04,3.04,4.05,5.07,3.04,1.01,3.04,4.66
026C80C5XPvAibaEXe8kGcWiFCcO6X+kqE6zW6qM,1999,1,6.36,5.3,6.36,5.3,1.06,5.3,4.24,4.24
0274C264XPvAibaEXe91UcttbrYag2jklAZJMb7s,2000,1,5.43,5.43,5.43,5.65,5.65,6.3,6.52,4.56
0276C28DXPvAibaEXe92DIzGarcXxFtmAWFTKF/F,1998,1,8.74,8.74,8.74,8.74,8.74,8.31,7.87,7.87
02784045XPvAibaEXe+72vl6t/d8GVXw6d/9TNFr,1999,0,7.1,5.91,5.91,5.91,5.91,5.91,5.91,7.1
0294BF8FXPvAibaEXe9ggqkCdMDyeA7ept6yymJB,1999,1,6.49,8.66,7.57,7.57,7.57,8.66,7.57,7.57
029FF400XPvAibaEXe/CDMtnBauOUI3KOirhtT3a,2000,1,5.51,7.72,7.72,7.72,6.61,7.72,8.82,7.72
02A2AE13XPvAibaEXe8FNnc+c+WuJK7wR2tq8jV9,1998,1,7.59,7.59,8.68,8.68,7.59,9.11,8.02,8.02
02B1B771XPvAibaEXe/MFNByxh05bwp2psmEm6tl,1999,0,7.37,6.32,7.37,6.32,6.32,7.37,7.37,8.43
02B5E19DXPvAibaEXe+6DwsvcvouVduD45n92KAo,1998,1,5.7,6.84,6.84,6.84,5.7,5.7,1.14,5.7
02B7506DXPvAibaEXe+k62RFIc5kZJ+3vcf6DF6N,1998,1,7.33,8.38,8.38,8.17,8.17,7.75,8.38,7.54
02BF7901XPvAibaEXe81w9eVvyp+l/OBpi+Ps6nu,1997,1,9.84,7.03,8.43,8.43,8.43,5.62,2.81,3.65
02C4644FXPvAibaEXe+wmtNhlfgIwhu0VSXU3tYN,1995,1,6.36,6.36,7.42,8.49,7.42,8.49,8.49,8.49
02D11BA0XPvAibaEXe/twT+sf632fV68MOhuBLMU,2001,0,8.43,8.43,8.43,8.43,8.43,8.43,7.37,8.64
02D8F879XPvAibaEXe+OQt2grxVQNx94/N9FKXBn,1998,1,5.25,7.35,7.35,7.77,7.14,7.56,8.4,7.77
02F183F0XPvAibaEXe/kJUgsv26Ua01LZ73bPyUY,1996,0,7.28,3.64,8.5,7.28,7.28,7.28,8.5,7.28
02FA9B28XPvAibaEXe9hPQQhQOOPyX9iSjJX1yiu,1995,1,2.56,3.33,5.12,2.05,3.84,6.4,5.12,1.28
02FAB066XPvAibaEXe+P3P+fEFRIWPj6XPfklz7k,2001,1,8.72,8.72,8.72,9.81,8.72,8.72,9.81,9.16
030AB9A8XPvAibaEXe+PYhTHWVfmAnz8waNlDG/x,2001,1,7.56,6.48,7.56,7.56,7.56,8.64,7.56,8.21
030B245FXPvAibaEXe/jTKXgBOsBDW4FRbuPOBJq,1998,1,7.26,8.3,7.26,7.67,5.81,7.88,7.67,7.67
030EC5D4XPvAibaEXe+6333OdPqlxr0zrQoKeC6U,1998,1,7.25,8.29,8.29,6.22,8.29,7.46,8.29,8.08
030FC1CFXPvAibaEXe+9lRniSKKSh3iBkTOiNqQs,1995,1,7.49,6.25,5.0,6.25,7.49,7.49,7.49,7.49
03102AA8XPvAibaEXe8JyzRlwVelI4su+QPmcQhh,1998,1,6.62,5.51,4.41,4.63,6.84,5.51,4.85,5.07
031A135FXPvAibaEXe+bzhoLNxTK0xOsiDh253Ur,1998,1,7.41,7.41,7.41,8.25,8.04,7.83,7.2,6.77
031B760AXPvAibaEXe9KztDs5zkBQtJkYA6Ehute,1998,1,8.54,6.4,7.47,7.47,6.4,7.04,6.62,7.9
032009DBXPvAibaEXe8hLNatuVCg+bidSLDlKFer,1996,1,10.0,6.76,6.76,4.05,5.41,4.05,8.11,4.05
0330BA3CXPvAibaEXe8Z5hiNBvM0RW96I9r3cKzN,2001,0,8.66,8.66,8.66,8.66,8.66,8.66,7.58,8.87
0336A8FDXPvAibaEXe97q47CdxnNZKAUu5+2jDyf,1996,1,7.14,7.14,7.14,1.43,8.56,4.28,5.71,4.28
0339FEA3XPvAibaEXe/67dyjFFUOJsO0SSal/unw,1999,1,4.71,5.88,7.06,5.88,7.06,7.06,7.06,8.24
033F886DXPvAibaEXe9KJs87LGFuVLck0jV/I2O/,1998,1,8.53,7.47,7.47,8.11,7.89,7.68,8.32,7.89
0343C819XPvAibaEXe/xGSYcIp0f7PNCSNmme2n5,1998,1,8.62,8.62,8.62,7.54,8.62,9.05,8.4,8.62
0349C6B8XPvAibaEXe80b1fr0fH/JkdDh3dWSII8,1997,1,6.09,4.87,8.52,7.3,8.52,8.52,8.52,4.87
0356BA29XPvAibaEXe/i44g6992J04DlKo1DQNSP,2001,1,7.46,8.53,8.53,8.53,8.53,8.53,8.53,8.74
035AEF81XPvAibaEXe/y2t7DVG8TDXVGQmvbKE12,1996,1,7.62,5.44,6.53,6.53,6.53,6.53,7.62,8.71
0368E395XPvAibaEXe8Hc2wHUxgky4xlonemdAzO,2001,1,8.63,7.55,7.55,8.63,7.55,7.55,7.55,7.55
0375F69FXPvAibaEXe9JdUmjPcaT8kzHYZ2eSjwX,1995,1,7.61,7.61,7.61,7.61,7.61,8.7,8.7,8.7
037AAE6FXPvAibaEXe8ZCBSJNuktiCdU6dkKR988,2000,1,9.61,9.61,7.48,8.54,8.54,8.54,8.76,7.48
037C3BF2XPvAibaEXe+EAlU+wSWpDZ0GbMgeWH3/,2001,1,7.43,8.5,7.43,7.43,8.5,7.43,7.43,8.07
03816B23XPvAibaEXe/1Yakz2BGJTcBso5ZBcYrz,2001,1,8.59,8.59,8.59,8.59,9.67,8.59,7.52,8.81
0388C53EXPvAibaEXe9F2tx/ToPx3FKeDTdDjuhB,1998,1,8.06,6.91,6.91,4.61,6.91,6.91,8.06,9.22
03918911XPvAibaEXe8uDPDBBTbYrBR+erGSTT5q,2001,1,9.41,8.37,7.32,7.32,8.37,8.37,9.41,8.79
0394FD62XPvAibaEXe9D0puFBsAtkmu/3f4p7oUp,1999,1,8.49,8.49,8.49,8.49,8.49,8.49,8.49,9.55
039739DCXPvAibaEXe9cMY+S62CQpXn1AzsVSyJ2,1998,1,7.68,6.59,6.59,6.59,7.02,7.68,7.46,6.15
0397E523XPvAibaEXe+q0E3QguGBpXo0jV2oyFig,2000,1,8.23,5.88,4.7,7.05,7.05,5.88,8.23,3.53
0398BD47XPvAibaEXe+1qnC7LACO/Xq5fbBTAgzN,2000,1,7.79,6.67,6.67,6.67,5.56,4.45,5.56,3.34
039A40EBXPvAibaEXe/sW+jVmHnQGlexsxcKegMx,1998,1,6.54,5.45,7.62,6.54,6.54,7.62,8.71,7.62
03A27B34XPvAibaEXe+XuNgf2Sify1FkYwDf2m0F,2001,1,6.57,6.57,5.48,7.67,7.67,7.67,7.67,7.01
03B1BF87XPvAibaEXe83EtiN4MI2ns5qclkPljKC,1995,1,7.63,7.63,7.63,7.63,7.63,7.63,7.63,7.63
03B3F65FXPvAibaEXe+QJ0MB5TsYNe5nyw6HufAr,1999,1,8.13,5.8,6.97,6.97,6.97,6.97,4.64,5.8
03B7B83FXPvAibaEXe+rQqH2xQ3mK0bmBwLPwvLq,1998,1,8.6,7.52,7.52,8.17,7.95,7.74,8.38,7.95
03BBAAD7XPvAibaEXe8EW55eQakbv2dGs/7ZpoNB,1998,1,8.7,8.7,8.7,8.48,8.48,9.13,8.7,7.83
03C79B24XPvAibaEXe+PAOVcd+LnOZDHTOc4IJv0,1997,1,8.5,6.38,7.44,6.38,6.38,6.38,7.44,7.44
03CB6F51XPvAibaEXe+fmJL3h1osPKagDzJfY1Is,1998,1,8.46,7.4,7.4,8.04,7.82,7.61,8.25,7.82
03CB8DC4XPvAibaEXe+4XPPXlKRz0LWy5kJsvBRv,1997,1,7.96,6.82,6.82,5.68,6.82,6.82,6.82,6.82
03E82A07XPvAibaEXe/uepF/LZG2ltTcDOAe6cyL,1998,1,7.46,7.46,7.46,8.31,8.1,7.88,7.24,6.82
03E9147DXPvAibaEXe+NnQrnI1K9JMnAja73zCHH,1999,1,6.7,5.58,7.82,7.82,7.82,7.82,7.82,7.82
03EC266CXPvAibaEXe8Zj2AQQ+YjPDCtujie7z73,1998,1,7.52,6.44,6.44,6.44,6.87,7.52,7.3,6.01
03ECE99EXPvAibaEXe8NoNh54Mn6M+2xXKb+BCMr,1997,1,9.24,6.93,8.09,6.93,6.93,5.78,6.93,6.93
03F0FDF5XPvAibaEXe81r7KrCH0uc/DWUtJIS0l8,1999,1,5.0,5.0,5.0,6.0,4.0,5.2,5.0,4.8
03F181B0XPvAibaEXe+7uLWSh9XvQs9BhtrBVBeU,1998,1,7.64,6.55,7.64,6.55,6.55,7.64,7.64,8.73
03F799BCXPvAibaEXe9MnecufC0W/vTkuEmnC2RW,2001,1,7.48,5.35,6.41,4.28,5.77,5.13,6.2,5.77
03FF368EXPvAibaEXe8JVGhFAfQ9U/upCLkDhtRc,1998,1,8.44,8.44,7.39,6.97,8.44,8.44,7.39,7.6
0401F5D8XPvAibaEXe/33FMzfi5mea/1WCTgCGuE,1998,1,7.51,7.51,7.51,7.51,8.58,7.94,8.15,7.94
0402B932XPvAibaEXe9xHju59ydahTjwi8JiBa4z,1997,1,6.76,5.63,7.88,6.76,7.88,7.88,7.88,7.88
0406981FXPvAibaEXe+M8JaUhbJyecydVJn03CsO,1997,1,6.66,5.55,7.76,6.66,7.76,7.76,7.76,7.76
040EC982XPvAibaEXe+ERYFOhgzk5TJhMb5/nkzT,1998,1,7.33,9.42,6.28,7.75,7.54,8.38,7.33,7.33
0415BA59XPvAibaEXe/f/Q1bKxMyhFreBFnAqn32,1998,1,7.79,7.79,6.67,6.67,6.67,6.67,7.12,7.34
0419426CXPvAibaEXe/EvmuerN6w1BIIPdWHHov2,1999,0,6.48,5.4,6.48,6.48,7.56,7.56,8.64,7.56
041F7D4CXPvAibaEXe9lyNw7zdm99jpjj8mjiV3M,1998,1,7.41,7.41,8.47,8.47,8.47,7.84,8.47,7.84
04234787XPvAibaEXe+4ETeamtJzhG84K01qWXLW,2001,1,6.51,6.51,5.42,7.59,7.59,6.51,7.59,7.16
042AF6AEXPvAibaEXe+NTT/XirluiUBFaLtjJar1,1998,1,8.48,7.42,7.42,8.06,7.84,7.63,8.27,7.84
042B0951XPvAibaEXe9tNeZtU5umq1T3dnIy1gbU,1998,1,6.99,6.99,7.99,7.79,7.39,7.99,7.59,7.99
042F0E58XPvAibaEXe8p9EUNm1rzjknB/SCShuuv,1998,1,5.01,5.01,8.77,3.76,5.01,5.26,5.76,5.26
043446ABXPvAibaEXe+D/rLOK41HOgI3XqKCgQnG,1998,1,7.42,8.48,8.48,7.42,8.48,8.06,8.06,8.06
043AE465XPvAibaEXe86sbeN0/YCTVJDeWwsGcv7,1998,1,7.29,7.29,8.33,7.29,8.33,7.29,7.29,7.29
043B0CDAXPvAibaEXe8d5+4VMyfVsO7O83z9K9IN,2001,1,6.42,7.49,7.49,7.49,7.49,7.49,7.49,7.92
043ECE64XPvAibaEXe8p7+QBLh7hjqIhsiZHycCn,1999,1,7.03,7.03,7.03,5.86,5.86,7.03,7.03,3.52
044251C4XPvAibaEXe+zviMYuJzmlQrTTytgtURL,1998,1,7.79,8.9,7.79,8.23,6.23,8.45,8.23,8.23
0446F74EXPvAibaEXe8yiBl4rYjVW0cRgGdXUNYX,1998,1,8.66,9.74,9.74,8.66,8.66,8.88,8.88,9.09
044CC105XPvAibaEXe9lyNw7zdm99sNZWsMMd7wW,1998,1,6.25,7.3,6.25,6.25,7.3,6.67,6.67,7.3
045380DDXPvAibaEXe+ItThaeWSaTjqzWjK/+ZK7,1999,1,6.55,7.64,7.64,7.64,8.74,7.64,7.64,8.74
045412CEXPvAibaEXe+6wkETMZCyIZAB7oEBy8dg,1998,1,8.67,7.58,8.67,8.67,8.67,8.02,8.45,7.37
0457DCC0XPvAibaEXe/CDMtnBauOUNMC60BG9GmS,2000,1,7.28,7.28,7.28,8.32,8.32,8.32,8.32,8.32
045BA438XPvAibaEXe+2WNqGC1yvSPNgdEGhoQQx,1998,1,8.39,9.44,8.39,8.39,8.39,8.6,7.97,8.81
